106 N2ST 15.5959 67.3487 106_PLOT_RESULTS_stereo_N2ST.eps 0 7 0
107 N2SV 13.0098 67.8914 107_PLOT_RESULTS_stereo_N2SV.eps 0 1 0
108 N2TV 15.1252 67.5675 108_PLOT_RESULTS_stereo_N2TV.eps 0 7 0
109 N2VA 12.6935 67.6639 109_PLOT_RESULTS_stereo_N2VA.eps 5 4 0
110 N2VG 13.269 66.709 110_PLOT_RESULTS_stereo_N2VG.eps 0 3 0
111 N2VI 14.1976 68.3212 111_PLOT_RESULTS_stereo_N2VI.eps 3 5 1
112 NAO01 10.8865 60.8442 112_PLOT_RESULTS_stereo_NAO01.eps 0 20 0
113 NASU 13.1862 58.9278 113_PLOT_RESULTS_stereo_NASU.eps 5 19 0
114 NB201 11.2939 61.0495 114_PLOT_RESULTS_stereo_NB201.eps 0 39 0
115 NBB03 14.9681 67.1031 115_PLOT_RESULTS_stereo_NBB03.eps 0 6 2
116 NBB05 14.0306 67.0368 116_PLOT_RESULTS_stereo_NBB05.eps 1 6 2
117 NBB08 14.6364 67.3871 117_PLOT_RESULTS_stereo_NBB08.eps 2 6 0
118 NBB12 13.1199 66.3879 118_PLOT_RESULTS_stereo_NBB12.eps 1 3 0
119 NBB14 13.5586 66.303 119_PLOT_RESULTS_stereo_NBB14.eps 0 2 0
120 NBB15 13.5776 66.7435 120_PLOT_RESULTS_stereo_NBB15.eps 0 8 0
121 NBB17 13.9581 66.8161 121_PLOT_RESULTS_stereo_NBB17.eps 2 9 0
122 NBB28 14.4622 67.1909 122_PLOT_RESULTS_stereo_NBB28.eps 3 5 0
123 NBB29 15.3292 66.9919 123_PLOT_RESULTS_stereo_NBB29.eps 0 13 0
124 NBB30 13.7354 66.9732 124_PLOT_RESULTS_stereo_NBB30.eps 1 4 0
125 NBB40 13.0097 66.513 125_PLOT_RESULTS_stereo_NBB40.eps 3 6 0
126 NBO00 10.7774 61.0307 126_PLOT_RESULTS_stereo_NBO00.eps 3 62 0
127 NC204 10.7629 61.2759 127_PLOT_RESULTS_stereo_NC204.eps 3 61 0
128 NC303 11.369 61.2251 128_PLOT_RESULTS_stereo_NC303.eps 5 36 0
129 NC405 11.7153 61.1128 129_PLOT_RESULTS_stereo_NC405.eps 1 61 0
130 NC602 11.5414 60.7353 130_PLOT_RESULTS_stereo_NC602.eps 1 50 0
131 NIKU 19.0347 67.8673 131_PLOT_RESULTS_stereo_NIKU.eps 12 12 0
132 NOD 14.8573 63.4428 132_PLOT_RESULTS_stereo_NOD.eps 4 29 0
133 NRAU 15.0401 59.5704 133_PLOT_RESULTS_stereo_NRAU.eps 4 14 0
134 NRTU 18.6308 59.6769 134_PLOT_RESULTS_stereo_NRTU.eps 7 20 0
135 NSS 11.9673 64.5307 135_PLOT_RESULTS_stereo_NSS.eps 2 32 0
136 NWG01 9.7362 63.4946 136_PLOT_RESULTS_stereo_NWG01.eps 2 4 0
137 NWG03 7.1518 62.7815 137_PLOT_RESULTS_stereo_NWG03.eps 1 6 0
138 NWG04 8.878 62.7835 138_PLOT_RESULTS_stereo_NWG04.eps 0 10 0
139 NWG05 10.0433 62.7205 139_PLOT_RESULTS_stereo_NWG05.eps 0 5 0
140 NWG09 7.5344 62.0291 140_PLOT_RESULTS_stereo_NWG09.eps 0 3 0
141 NWG13 7.1011 61.1984 141_PLOT_RESULTS_stereo_NWG13.eps 0 5 0
142 NWG15 6.924 60.576 142_PLOT_RESULTS_stereo_NWG15.eps 4 4 0
143 NWG16 8.2907 60.618 143_PLOT_RESULTS_stereo_NWG16.eps 1 7 0
144 NWG19 11.815 59.8529 144_PLOT_RESULTS_stereo_NWG19.eps 4 10 0
145 NWG20 8.0305 59.6434 145_PLOT_RESULTS_stereo_NWG20.eps 0 3 0
146 NWG21 6.5938 59.9526 146_PLOT_RESULTS_stereo_NWG21.eps 6 2 0
147 NWG22 5.2414 59.2681 147_PLOT_RESULTS_stereo_NWG22.eps 2 7 0
148 NWG27 9.0357 58.7485 148_PLOT_RESULTS_stereo_NWG27.eps 3 6 0
149 NWG28 7.4186 58.6201 149_PLOT_RESULTS_stereo_NWG28.eps 10 7 0
150 NWG29 5.6824 58.7424 150_PLOT_RESULTS_stereo_NWG29.eps 1 4 0
151 NWG30 6.6196 58.1312 151_PLOT_RESULTS_stereo_NWG30.eps 12 4 0
152 NWG35 7.3859 59.4949 152_PLOT_RESULTS_stereo_NWG35.eps 1 0 0
153 NYNU 18.0042 59.0047 153_PLOT_RESULTS_stereo_NYNU.eps 8 25 0
154 ODD 6.628 59.912 154_PLOT_RESULTS_stereo_ODD.eps 4 2 0
155 ODEU 20.7162 64.4085 155_PLOT_RESULTS_stereo_ODEU.eps 7 24 0
156 ONAU 11.9177 57.3965 156_PLOT_RESULTS_stereo_ONAU.eps 7 20 0
157 OSKU 16.0994 57.1947 157_PLOT_RESULTS_stereo_OSKU.eps 2 20 0
158 OSTU 17.1342 60.2298 158_PLOT_RESULTS_stereo_OSTU.eps 12 26 0
159 OUF 24.7314 64.3673 159_PLOT_RESULTS_stereo_OUF.eps 9 20 0
160 OUL 25.8964 65.0853 160_PLOT_RESULTS_stereo_OUL.eps 58 60 9
