id|Station|Latitude|Longitude|phi|dt|refID|Phase|pmax|pmin|dtmax|dtmin|remark
6687|RND|63.4056|-148.8599|33.02|1.7|197||||||good individual SKS measurement, event 2009.297, backaz= 259.02, incidence angle= 9.92
6688|RND|63.4056|-148.8599|40.59|1.92|197||||||fair individual SKS measurement, event 2009.36, backaz= 258.59, incidence angle= 10.12
6689|RND|63.4056|-148.8599|27.05|1.22|197||||||fair individual SKS measurement, event 2010.073, backaz= 263.05, incidence angle= 10.51
6690|SAW|61.81|-148.33|316.94|0.48|197||||||fair individual SKS measurement, event 2007.329, backaz= 268.94, incidence angle= 8.74
6691|SAW|61.81|-148.33|339.15|0.78|197||||||fair individual SKS measurement, event 2009.228, backaz= 289.15, incidence angle= 8.34
6692|SAW|61.81|-148.33|340.2|0.82|197||||||fair individual SKS measurement, event 2009.228, backaz= 289.2, incidence angle= 8.34
6693|SAW|61.81|-148.33|314.02|0.5|197||||||fair individual SKS measurement, event 2009.245, backaz= 279.02, incidence angle= 8.02
6694|SAW|61.81|-148.33|331.98|0.92|197||||||fair individual SKS measurement, event 2009.273, backaz= 288.98, incidence angle= 8.42
6695|SCRK|63.98|-143.99|38.97|0.48|197||||||fair individual SKS measurement, event 2009.36, backaz= 262.97, incidence angle= 9.73
6696|SCRK|63.98|-143.99|40.42|0.42|197||||||fair individual SKS measurement, event 2010.073, backaz= 267.42, incidence angle= 10.09
6697|SPIA|57.1766|-170.2477|312.46|0.6|197||||||fair individual SKS measurement, event 2009.209, backaz= 265.46, incidence angle= 9.58
6698|SSN|61.46|-150.74|25.93|1.46|197||||||good individual SKS measurement, event 2009.36, backaz= 256.93, incidence angle= 10.33
6699|SWD|60.1043|-149.4528|344.33|0.4|197||||||fair individual SKS measurement, event 2002.344, backaz= 208.33, incidence angle= 10.33
6700|SWD|60.1043|-149.4528|326.8|1.4|197||||||fair individual SKS measurement, event 2003.152, backaz= 275.8, incidence angle= 7.92
6701|SWD|60.1043|-149.4528|294.58002|0.72|197||||||good individual SKS measurement, event 2004.108, backaz= 259.58, incidence angle= 9.74
6702|SWD|60.1043|-149.4528|340.76|0.5|197||||||fair individual SKS measurement, event 2004.183, backaz= 206.76, incidence angle= 10.23
6703|SWD|60.1043|-149.4528|328.27|0.52|197||||||good individual SKS measurement, event 2004.207, backaz= 283.27, incidence angle= 8.35
6704|SWD|60.1043|-149.4528|339.6|1.18|197||||||fair individual SKS measurement, event 2004.274, backaz= 203.6, incidence angle= 10.03
6705|SWD|60.1043|-149.4528|340.29|1.34|197||||||fair individual SKS measurement, event 2004.361, backaz= 294.29, incidence angle= 8.53
6706|SWD|60.1043|-149.4528|337.57|1.18|197||||||good individual SKS measurement, event 2004.361, backaz= 294.57, incidence angle= 8.51
6707|SWD|60.1043|-149.4528|328.38|0.82|197||||||fair individual SKS measurement, event 2005.001, backaz= 296.38, incidence angle= 9.15
6708|SWD|60.1043|-149.4528|335.43|0.88|197||||||fair individual SKS measurement, event 2005.002, backaz= 297.43, incidence angle= 8.9
6709|SWD|60.1043|-149.4528|343.15|0.84|197||||||fair individual SKS measurement, event 2005.024, backaz= 298.15, incidence angle= 9.03
6710|SWD|60.1043|-149.4528|346.2|0.88|197||||||fair individual SKS measurement, event 2005.055, backaz= 293.2, incidence angle= 8.62
6711|SWD|60.1043|-149.4528|341.34|0.56|197||||||fair individual SKS measurement, event 2005.057, backaz= 293.34, incidence angle= 8.61
6712|SWD|60.1043|-149.4528|330.67|0.58|197||||||good individual SKS measurement, event 2005.134, backaz= 289.67, incidence angle= 8.51
6713|SWD|60.1043|-149.4528|345.99|0.8|197||||||good individual SKS measurement, event 2005.206, backaz= 298.99, incidence angle= 9.08
6714|SWD|60.1043|-149.4528|349.38|0.7|197||||||good individual SKS measurement, event 2005.211, backaz= 295.38, incidence angle= 8.84
6715|SWD|60.1043|-149.4528|349.19|0.72|197||||||fair individual SKS measurement, event 2006.136, backaz= 205.19, incidence angle= 9.31
6716|SWD|60.1043|-149.4528|336.34|0.6|197||||||good individual SKS measurement, event 2007.229, backaz= 111.34, incidence angle= 9.59
6717|SWD|60.1043|-149.4528|66.15|0.54|197||||||fair individual SKS measurement, event 2008.035, backaz= 109.15, incidence angle= 8.21
6718|SWD|60.1043|-149.4528|330.93|0.94|197||||||fair individual SKS measurement, event 2008.056, backaz= 286.93, incidence angle= 8.22
6719|SWD|60.1043|-149.4528|315.53|0.54|197||||||fair individual SKS measurement, event 2008.346, backaz= 267.53, incidence angle= 10.46
6720|SWD|60.1043|-149.4528|329.66|0.58|197||||||good individual SKS measurement, event 2009.273, backaz= 287.66, incidence angle= 8.42
6721|SWD|60.1043|-149.4528|349.7|1.26|197||||||fair individual SKS measurement, event 2010.096, backaz= 291.7, incidence angle= 8.65
6722|THY|63.42|-145.75|339.52|0.84|197||||||fair individual SKS measurement, event 2004.361, backaz= 298.52, incidence angle= 8.5
6723|TNA|65.5601|-167.9264|319.37|0.56|197||||||fair individual SKS measurement, event 2007.229, backaz= 94.37, incidence angle= 8.16
6724|TNA|65.5601|-167.9264|31.77|0.96|197||||||fair individual SKS measurement, event 2007.329, backaz= 251.77, incidence angle= 10.04
6725|TNA|65.5601|-167.9264|51.21|0.4|197||||||fair individual SKS measurement, event 2008.198, backaz= 189.21, incidence angle= 9.01
6726|TRF|63.45|-150.29|72.19|0.86|197||||||fair individual SKS measurement, event 2003.171, backaz= 114.19, incidence angle= 6.9
6727|TRF|63.45|-150.29|71.48|0.54|197||||||fair individual SKS measurement, event 2004.154, backaz= 204.48, incidence angle= 8.69
6728|TRF|63.45|-150.29|75.63|0.94|197||||||good individual SKS measurement, event 2004.154, backaz= 207.63, incidence angle= 9.9
6729|TRF|63.45|-150.29|55.2|1.9|197||||||fair individual SKS measurement, event 2004.158, backaz= 273.2, incidence angle= 8.61
6730|TRF|63.45|-150.29|57.48|2.02|197||||||poor individual SKS measurement, event 2004.177, backaz= 257.48, incidence angle= 9.99
6731|TRF|63.45|-150.29|43.48|2.0|197||||||good individual SKS measurement, event 2004.177, backaz= 257.48, incidence angle= 9.99
6732|TRF|63.45|-150.29|60.07|1.26|197||||||good individual SKS measurement, event 2004.207, backaz= 283.07, incidence angle= 8.51
6733|TRF|63.45|-150.29|71.03|1.04|197||||||fair individual SKS measurement, event 2005.002, backaz= 297.03, incidence angle= 9.22
6734|TRF|63.45|-150.29|45.25|1.22|197||||||fair individual SKS measurement, event 2005.023, backaz= 269.25, incidence angle= 10.03
6735|TRF|63.45|-150.29|55.34|0.86|197||||||fair individual SKS measurement, event 2005.1, backaz= 287.34, incidence angle= 8.52
6736|TRF|63.45|-150.29|64.68|0.72|197||||||poor individual SKS measurement, event 2005.106, backaz= 290.68, incidence angle= 8.85
6737|TRF|63.45|-150.29|55.07|2.14|197||||||fair individual SKS measurement, event 2006.027, backaz= 260.07, incidence angle= 9.89
6738|TRF|63.45|-150.29|46.72|2.14|197||||||good individual SKS measurement, event 2006.175, backaz= 266.72, incidence angle= 10.43
6739|TRF|63.45|-150.29|272.95|1.82|197||||||good individual SKS measurement, event 2006.26, backaz= 110.95, incidence angle= 6.55
6740|TRF|63.45|-150.29|62.2|0.92|197||||||fair individual SKS measurement, event 2006.273, backaz= 108.2, incidence angle= 8.8
6741|TRF|63.45|-150.29|61.74|2.64|197||||||poor individual SKS measurement, event 2006.318, backaz= 259.74, incidence angle= 9.74
6742|TRF|63.45|-150.29|40.11|1.9|197||||||good individual SKS measurement, event 2006.335, backaz= 267.11, incidence angle= 8.9
6743|TRF|63.45|-150.29|37.99|2.24|197||||||good individual SKS measurement, event 2007.275, backaz= 284.99, incidence angle= 8.22
6744|TRF|63.45|-150.29|36.4|1.74|197||||||fair individual SKS measurement, event 2007.329, backaz= 267.4, incidence angle= 8.88
6745|TRF|63.45|-150.29|17.71|2.3|197||||||fair individual SKS measurement, event 2007.349, backaz= 259.71, incidence angle= 9.55
6746|TRF|63.45|-150.29|337.89|2.36|197||||||fair individual SKS measurement, event 2008.102, backaz= 217.89, incidence angle= 10.22
6747|TRF|63.45|-150.29|37.7|2.1|197||||||fair individual SKS measurement, event 2008.26, backaz= 259.7, incidence angle= 9.4
6748|TRF|63.45|-150.29|66.29|1.12|197||||||poor individual SKS measurement, event 2008.286, backaz= 103.29, incidence angle= 7.65
6749|TRF|63.45|-150.29|73.82|2.62|197||||||poor individual SKS measurement, event 2009.022, backaz= 258.82, incidence angle= 9.73
6750|TRF|63.45|-150.29|41.75|2.18|197||||||fair individual SKS measurement, event 2009.297, backaz= 257.75, incidence angle= 10.03
6751|UNV|53.8456|-166.504|332.45|1.86|197||||||good individual SKS measurement, event 2005.123, backaz= 97.45, incidence angle= 8.11
6752|UNV|53.8456|-166.504|55.42|0.6|197||||||fair individual SKS measurement, event 2005.134, backaz= 274.42, incidence angle= 9.77
6753|UNV|53.8456|-166.504|318.41|0.88|197||||||fair individual SKS measurement, event 2005.207, backaz= 96.41, incidence angle= 7.9
6754|UNV|53.8456|-166.504|51.7|0.64|197||||||fair individual SKS measurement, event 2006.172, backaz= 282.7, incidence angle= 10.03
6755|UNV|53.8456|-166.504|44.1|1.08|197||||||fair individual SKS measurement, event 2007.065, backaz= 272.1, incidence angle= 9.81
6756|UNV|53.8456|-166.504|48.41|0.6|197||||||fair individual SKS measurement, event 2007.257, backaz= 269.41, incidence angle= 9.4
6757|UNV|53.8456|-166.504|325.09|0.76|197||||||fair individual SKS measurement, event 2007.354, backaz= 192.09, incidence angle= 9.56
6758|WRH|64.47|-148.09|62.26|1.06|197||||||fair individual SKS measurement, event 2010.064, backaz= 119.26, incidence angle= 6.39
6759|WRH|64.47|-148.09|53.24|0.72|197||||||fair individual SKS measurement, event 2009.245, backaz= 279.24, incidence angle= 8.13
6760|A001|36.43|94.87|61.0|0.9|198||6.0|6.0|0.1|0.1|mean value
6761|A005|37.02|91.74|48.0|0.4|198||12.0|12.0|0.1|0.1|mean value
6762|A005|37.02|91.74|82.0|1.3|198||7.0|7.0|0.3|0.3|mean value
6763|A005|37.02|91.74|75.0|0.5|198||19.0|19.0|0.2|0.2|mean value
6764|C001|35.81|94.89|81.0|1.3|198||2.0|2.0|0.1|0.1|mean value
6765|C004|35.57|94.04|89.0|2.2|198||1.0|1.0|0.1|0.1|mean value
6766|C009|33.86|92.25|64.0|1.1|198||1.0|1.0|0.1|0.1|mean value
6767|C010|33.26|91.84|69.0|2.2|198||2.0|2.0|0.1|0.1|mean value
6768|C011|32.79|91.86|73.0|1.2|198||2.0|2.0|0.1|0.1|mean value
6769|C012|31.99|91.71|70.0|0.6|198||6.0|6.0|0.1|0.1|mean value
6770|D001|34.18|95.83|332.0|0.8|198||5.0|5.0|0.1|0.1|mean value
6771|D006|33.76|96.75|298.0|1.0|198||1.0|1.0|0.1|0.1|mean value
6772|D008|34.92|94.78|275.0|1.6|198||4.0|4.0|0.2|0.2|mean value
6773|D009|35.12|93.96|278.0|2.2|198||1.0|1.0|0.1|0.1|mean value
6774|D013|33.01|97.11|288.0|0.7|198||16.0|16.0|0.2|0.2|mean value
6775|D017|33.73|95.84|319.0|0.6|198||5.0|5.0|0.1|0.1|mean value
6776|D018|32.89|94.7|57.0|0.6|198||15.0|15.0|0.2|0.2|mean value
6777|D019|34.27|94.92|88.0|1.0|198||7.0|7.0|0.2|0.2|mean value
6778|D021|31.87|93.03|68.0|0.8|198||6.0|6.0|0.1|0.1|mean value
6779|D023|31.54|95.26|278.0|0.9|198||2.0|2.0|0.1|0.1|mean value
6780|D024|31.16|96.47|299.0|1.0|198||4.0|4.0|0.2|0.2|mean value
6781|D025|31.99|96.51|84.0|0.6|198||12.0|12.0|0.2|0.2|mean value
6782|F001|34.05|96.3|315.0|0.9|198||7.0|7.0|0.2|0.2|mean value
6783|F002|33.83|97.1|87.0|1.0|198||4.0|4.0|0.1|0.1|mean value
6784|F004|32.33|95.97|314.0|0.6|198||5.0|5.0|0.1|0.1|mean value
6785|F005|32.3|96.43|321.0|0.4|198||15.0|15.0|0.1|0.1|mean value
6786|F012|31.51|96.32|301.0|0.7|198||8.0|8.0|0.1|0.1|mean value
6787|F013|31.24|95.91|283.0|1.1|198||8.0|8.0|0.3|0.3|mean value
6788|F014|31.56|94.65|82.0|1.0|198||5.0|5.0|0.2|0.2|mean value
6789|F015|31.87|93.78|90.0|1.1|198||7.0|7.0|0.3|0.3|mean value
6790|F016|31.69|92.42|73.0|1.0|198||5.0|5.0|0.1|0.1|mean value
6791|F017|32.39|91.71|65.0|1.1|198||5.0|5.0|0.1|0.1|mean value
6792|GS01|34.27|104.2|302.0|1.6|198||3.0|3.0|0.2|0.2|mean value
6793|GS03|34.43|102.2|55.0|0.9|198||3.0|3.0|0.1|0.1|mean value
6794|GS04|35.05|104.5|298.0|1.3|198||2.0|2.0|0.2|0.2|mean value
6795|GS05|34.65|103.5|288.0|1.5|198||3.0|3.0|0.1|0.1|mean value
6796|GS07|34.45|105.0|308.0|1.0|198||6.0|6.0|0.2|0.2|mean value
6797|GS08|33.48|105.0|282.0|1.0|198||5.0|5.0|0.2|0.2|mean value
6798|GS09|32.87|106.4|275.0|2.1|198||7.0|7.0|0.6|0.6|mean value
6799|GS10|33.54|106.9|273.0|0.7|198||17.0|17.0|0.3|0.3|mean value
6800|GS11|33.91|105.9|312.0|1.4|198||13.0|13.0|0.5|0.5|mean value
6801|GS12|34.85|105.7|305.0|1.6|198||6.0|6.0|0.4|0.4|mean value
6802|GS13|35.64|105.4|311.0|0.8|198||4.0|4.0|0.1|0.1|mean value
6803|GS14|35.7|104.5|272.0|1.3|198||5.0|5.0|0.2|0.2|mean value
6804|GS15|35.38|107.3|304.0|1.5|198||3.0|3.0|0.3|0.3|mean value
6805|GS16|36.05|106.0|332.0|1.2|198||4.0|4.0|0.1|0.1|mean value
6806|GS18|32.87|104.7|283.0|1.3|198||4.0|4.0|0.2|0.2|mean value
6807|H001|36.21|96.39|276.0|1.1|198||4.0|4.0|0.2|0.2|mean value
6808|H002|36.27|96.96|55.0|0.7|198||6.0|6.0|0.2|0.2|mean value
6809|H003|35.9|97.98|71.0|0.7|198||6.0|6.0|0.1|0.1|mean value
6810|H004|35.94|97.49|79.0|0.8|198||3.0|3.0|0.1|0.1|mean value
6811|H005|35.66|98.41|81.0|1.0|198||6.0|6.0|0.2|0.2|mean value
6812|H006|36.28|98.12|67.0|0.6|198||4.0|4.0|0.1|0.1|mean value
6813|H008|36.77|98.96|62.0|0.9|198||10.0|10.0|0.2|0.2|mean value
6814|H009|37.61|99.39|317.0|1.0|198||20.0|20.0|0.5|0.5|mean value
6815|H013|36.97|97.65|76.0|0.8|198||9.0|9.0|0.2|0.2|mean value
6816|H017|38.03|94.55|317.0|0.6|198||17.0|17.0|0.2|0.2|mean value
6817|H018|37.68|93.66|10.0|0.5|198||9.0|9.0|0.3|0.3|mean value
6818|H019|38.26|92.14|280.0|2.2|198||1.0|1.0|0.3|0.3|mean value
6819|H020|38.8|94.35|352.0|0.8|198||11.0|11.0|0.2|0.2|mean value
6820|H021|39.58|94.27|47.0|0.8|198||5.0|5.0|0.2|0.2|mean value
6821|H022|39.76|93.49|278.0|0.6|198||8.0|8.0|0.1|0.1|mean value
6822|H023|39.51|94.9|51.0|0.7|198||13.0|13.0|0.2|0.2|mean value
6823|JSO1	|35.43|93.45|275.0|1.4|198||3.0|3.0|0.2|0.2|mean value
6824|JSO2	|35.17|92.99|85.0|1.6|198||2.0|2.0|0.1|0.1|mean value calculated_from_Western_Pacific_events
6825|JSO2	|35.17|92.99|77.0|1.0|198||7.0|7.0|0.1|0.1|mean value calculated_from_South_America_events
6826|JSO3	|34.38|92.77|80.0|2.0|198||2.0|2.0|0.1|0.1|mean value
6827|JSO25|34.64|92.8|58.0|1.0|198||3.0|3.0|0.1|0.1|mean value
6828|KF101|35.64|95.09|74.0|1.4|198||2.0|2.0|0.1|0.1|mean value
6829|KF106|35.69|95.09|88.0|1.3|198||3.0|3.0|0.1|0.1|mean value calculated_from_Western_Pacific_events
6830|KF106|35.69|95.09|70.0|1.6|198||4.0|4.0|0.2|0.2|mean value calculated_from_South_America_events
6831|KF111|35.76|94.97|85.0|1.2|198||3.0|3.0|0.1|0.1|mean value calculated_from_Western_Pacific_events
6832|KF111|35.76|94.97|73.0|1.5|198||5.0|5.0|0.2|0.2|mean value calculated_from_South_America_events
6833|KF116|35.8|94.9|79.0|1.2|198||3.0|3.0|0.1|0.1|mean value calculated_from_Western_Pacific_events
6834|KF116|35.8|94.9|85.0|1.6|198||4.0|4.0|0.2|0.2|mean value calculated_from_South_America_events
6835|KF141|36.03|94.81|62.0|0.7|198||7.0|7.0|0.1|0.1|mean value calculated_from_Western_Pacific_events
6836|KF141|36.03|94.81|88.0|1.4|198||6.0|6.0|0.3|0.3|mean value calculated_from_South_America_events
6837|KF146|36.07|94.79|49.0|0.6|198||6.0|6.0|0.1|0.1|mean value calculated_from_Western_Pacific_events
6838|KF146|36.07|94.79|275.0|1.1|198||10.0|10.0|0.3|0.3|mean value calculated_from_South_America_events
6839|KF151|36.13|94.76|62.0|0.6|198||6.0|6.0|0.1|0.1|mean value calculated_from_Western_Pacific_events
6840|KF151|36.13|94.76|271.0|1.0|198||6.0|6.0|0.1|0.1|mean value calculated_from_South_America_events
6841|KF66A|35.35|94.95|90.0|2.2|198||7.0|7.0|0.4|0.4|mean value
6842|KF71A|35.39|94.94|311.0|0.9|198||10.0|10.0|0.2|0.2|mean value calculated_from_Western_Pacific_events
6843|KF71A|35.39|94.94|88.0|2.4|198||4.0|4.0|0.3|0.3|mean value calculated_from_South_America_events
6844|KF76A|35.44|94.94|335.0|0.7|198||22.0|22.0|0.3|0.3|mean value calculated_from_Western_Pacific_events
6845|KF76A|35.44|94.94|88.0|2.1|198||3.0|3.0|0.2|0.2|mean value calculated_from_South_America_events
6846|KF81A|35.48|94.98|86.0|1.8|198||4.0|4.0|0.2|0.2|mean value
6847|KF86N|35.51|95.05|87.0|1.4|198||5.0|5.0|0.2|0.2|mean value
6848|KF91A|35.55|95.08|86.0|1.3|198||5.0|5.0|0.2|0.2|mean value
6849|KF96A|35.6|95.1|280.0|1.3|198||4.0|4.0|0.3|0.3|mean value calculated_from_Western_Pacific_events
6850|KF96A|35.6|95.1|74.0|1.2|198||8.0|8.0|0.2|0.2|mean value calculated_from_South_America_events
6851|CM01|2.389|9.834|12.0|0.53|199||5.0|5.0|0.18|0.18|7 waveforms stacked, quality C
6852|CM02|2.698|13.289|42.0|0.95|199||1.0|1.0|0.01|0.01|8 waveforms stacked, quality A
6853|CM03|3.519|15.034|20.0|0.35|199||3.0|3.0|0.01|0.01|6 waveforms stacked, quality B
6854|CM04|2.979|11.959|47.0|0.6|199||3.0|3.0|0.05|0.05|8 waveforms stacked, quality A
6855|CM05|2.942|9.914|22.0|0.7|199||3.0|3.0|0.06|0.06|13 waveforms stacked, quality B
6856|CM06|2.385|11.268|56.0|0.78|199||1.0|1.0|0.01|0.01|6 waveforms stacked, quality A
6857|CM07|3.87|11.456||0.0|199||||||14 waveforms stacked, quality A
6858|CM08|3.909|9.863|25.0|1.1|199||3.0|3.0|0.04|0.04|5 waveforms stacked, quality B
6859|CM09|4.234|9.328|26.0|0.43|199||9.0|9.0|0.1|0.1|9 waveforms stacked, quality C
6860|CM10|4.223|10.619|42.0|0.75|199||3.0|3.0|0.05|0.05|6 waveforms stacked, quality A
6861|CM11|3.98|13.188|21.0|0.25|199||3.0|3.0|0.04|0.04|20 waveforms stacked, quality B
6862|CM12|4.481|11.634|7.0|0.78|199||3.0|3.0|0.08|0.08|7 waveforms stacked, quality A
6863|CM13|4.588|9.462|11.0|0.45|199||12.0|12.0|0.16|0.16|4 waveforms stacked, quality C
6864|CM14|4.422|14.358|328.0|0.35|199||3.0|3.0|0.05|0.05|13 waveforms stacked, quality A
6865|CM15|5.034|9.933|9.0|1.0|199||1.0|1.0|0.09|0.09|13 waveforms stacked, quality B
6866|CM16|5.48|10.572|26.0|0.28|199||4.0|4.0|0.04|0.04|13 waveforms stacked, quality B
6867|CM17|5.546|12.312|26.0|1.33|199||2.0|2.0|0.04|0.04|5 waveforms stacked, quality A
6868|CM18|5.723|9.355||0.0|199||||||11 waveforms stacked, quality A
6869|CM19|5.975|11.232|2.0|0.45|199||3.0|3.0|0.04|0.04|5 waveforms stacked, quality B
6870|CM20|6.225|10.054|359.0|0.48|199||3.0|3.0|0.07|0.07|11 waveforms stacked, quality B
6871|CM21|6.467|12.62|56.0|0.7|199||1.0|1.0|0.05|0.05|5 waveforms stacked, quality B
6872|CM22|6.477|13.268|72.0|1.1|199||1.0|1.0|0.01|0.01|6 waveforms stacked, quality B
6873|CM23|6.37|10.793|345.0|0.53|199||2.0|2.0|0.05|0.05|11 waveforms stacked, quality B
6874|CM24|6.523|14.288|46.0|0.3|199||4.0|4.0|0.05|0.05|13 waveforms stacked, quality B
6875|CM25|6.76|11.811|358.0|0.48|199||4.0|4.0|0.08|0.08|6 waveforms stacked, quality B
6876|CM26|7.265|13.548|74.0|0.63|199||3.0|3.0|0.01|0.01|9 waveforms stacked, quality B
6877|CM27|7.359|12.667|44.0|0.43|199||8.0|8.0|0.09|0.09|4 waveforms stacked, quality C
6878|CM28|8.469|13.237|15.0|1.05|199||7.0|7.0|0.2|0.2|4 waveforms stacked, quality C
6879|CM29|9.347|13.385|57.0|0.93|199||1.0|1.0|0.04|0.04|8 waveforms stacked, quality A
6880|CM30|9.757|13.95|57.0|0.88|199||4.0|4.0|0.04|0.04|3 waveforms stacked, quality A
6881|CM31|10.327|15.262|44.0|0.95|199||4.0|4.0|0.06|0.06|4 waveforms stacked, quality A
6882|CM32|10.619|14.372|41.0|0.83|199||4.0|4.0|0.08|0.08|5 waveforms stacked, quality A
6883|MSKU|-1.656|13.612|23.0|0.63|199||4.0|4.0|0.09|0.09|4 waveforms stacked, quality A
6884|AND|64.33|-149.2|85.0|1.4|200||12.0|12.0|0.16|0.16|individual SKS measurement, event # 32, backaz= 207, distance= 99
6885|AND|64.33|-149.2|83.0|0.8|200||19.0|23.0|0.29|0.23|individual SKS measurement, event # 26, backaz= 115, distance= 116
6886|AND|64.33|-149.2|274.0|1.14|200||13.0|17.0|0.21|0.22|individual SKS measurement, event # 25, backaz= 209, distance= 93
6887|AND|64.33|-149.2|42.0|1.08|200||12.0|10.0|0.44|0.39|individual SKS measurement, event # 22, backaz= 285, distance= 102
6888|ANT|63.1|-149.48|42.0|1.76|200||13.0|13.0|0.36|0.35|individual SKS measurement, event # 37, backaz= 262, distance= 87
6889|ANT|63.1|-149.48|335.0|0.66|200||15.0|12.0|0.18|0.16|individual SKS measurement, event # 35, backaz= 208, distance= 86
6890|ANT|63.1|-149.48|59.0|1.96|200||18.0|16.0|0.54|0.44|individual SKS measurement, event # 34, backaz= 262, distance= 91
6891|ANT|63.1|-149.48|356.0|0.44|200||25.0|29.0|0.16|0.13|individual SKS measurement, event # 32, backaz= 206, distance= 97
6892|ANT|63.1|-149.48|60.0|0.72|200||14.0|13.0|0.2|0.19|individual SKS measurement, event # 31, backaz= 264, distance= 95
6893|ANT|63.1|-149.48|72.0|1.38|200||3.0|2.0|0.28|0.34|individual SKS measurement, event # 27, backaz= 285, distance= 113
6894|ANT|63.1|-149.48|357.0|0.5|200||9.0|9.0|0.11|0.12|individual SKS measurement, event # 25, backaz= 209, distance= 92
6895|ANT|63.1|-149.48|73.0|0.64|200||22.0|26.0|0.26|0.16|individual SKS measurement, event # 24, backaz= 285, distance= 102
6896|ANT|63.1|-149.48|68.0|0.66|200||20.0|22.0|0.26|0.21|individual SKS measurement, event # 33, backaz= 283, distance= 103
6897|ANT|63.1|-149.48|337.0|0.64|200||16.0|12.0|0.23|0.22|individual SKS measurement, event # 36, backaz= 206, distance= 86
6898|BYR|62.69|-150.23|328.0|0.7|200||12.0|12.0|0.1|0.1|individual SKS measurement, event # 19, backaz= 106, distance= 114
6899|BYR|62.69|-150.23|320.0|0.72|200||12.0|10.0|0.2|0.21|individual SKS measurement, event # 11, backaz= 107, distance= 103
6900|BYR|62.69|-150.23|324.0|0.66|200||24.0|14.0|0.34|0.27|individual SKS measurement, event # 54, backaz= 107, distance= 103
6901|BYR|62.69|-150.23|317.0|0.86|200||11.0|9.0|0.26|0.24|individual SKS measurement, event # 50, backaz= 108, distance= 100
6902|BYR|62.69|-150.23|319.0|0.74|200||17.0|10.0|0.36|0.31|individual SKS measurement, event # 52, backaz= 109, distance= 98
6903|BYR|62.69|-150.23|336.0|0.62|200||10.0|8.0|0.12|0.12|individual SKS measurement, event # 6, backaz= 204, distance= 95
6904|BYR|62.69|-150.23|0.0|0.62|200||11.0|12.0|0.11|0.11|individual SKS measurement, event # 5, backaz= 204, distance= 95
6905|BYR|62.69|-150.23|335.0|0.66|200||14.0|10.0|0.21|0.19|individual SKS measurement, event # 3, backaz= 204, distance= 94
6906|BYR|62.69|-150.23|17.0|0.64|200||18.0|22.0|0.13|0.15|individual SKS measurement, event # 1, backaz= 204, distance= 95
6907|BYR|62.69|-150.23|338.0|0.88|200||8.0|8.0|0.12|0.12|individual SKS measurement, event # 51, backaz= 205, distance= 87
6908|BYR|62.69|-150.23|353.0|0.7|200||6.0|5.0|0.06|0.07|individual SKS measurement, event # 47, backaz= 205, distance= 95
6909|BYR|62.69|-150.23|11.0|0.68|200||29.0|31.0|0.17|0.19|individual SKS measurement, event # 17, backaz= 205, distance= 93
6910|BYR|62.69|-150.23|9.0|0.58|200||19.0|23.0|0.11|0.13|individual SKS measurement, event # 32, backaz= 206, distance= 97
6911|BYR|62.69|-150.23|343.0|0.84|200||14.0|12.0|0.18|0.18|individual SKS measurement, event # 45, backaz= 206, distance= 86
6912|BYR|62.69|-150.23|355.0|0.76|200||13.0|11.0|0.12|0.14|individual SKS measurement, event # 38, backaz= 207, distance= 87
6913|BYR|62.69|-150.23|345.0|0.88|200||13.0|11.0|0.13|0.15|individual SKS measurement, event # 35, backaz= 207, distance= 86
6914|BYR|62.69|-150.23|351.0|0.7|200||33.0|23.0|0.36|0.31|individual SKS measurement, event # 15, backaz= 208, distance= 85
6915|BYR|62.69|-150.23|341.0|0.84|200||12.0|11.0|0.15|0.17|individual SKS measurement, event # 2, backaz= 208, distance= 88
6916|BYR|62.69|-150.23|356.0|0.82|200||10.0|9.0|0.12|0.12|individual SKS measurement, event # 25, backaz= 208, distance= 91
6917|BYR|62.69|-150.23|346.0|1.06|200||10.0|9.0|0.17|0.17|individual SKS measurement, event # 12, backaz= 217, distance= 90
6918|BYR|62.69|-150.23|47.0|0.96|200||10.0|10.0|0.1|0.11|individual SKS measurement, event # 46, backaz= 256, distance= 90
6919|BYR|62.69|-150.23|59.0|1.54|200||7.0|8.0|0.16|0.16|individual SKS measurement, event # 29, backaz= 259, distance= 92
6920|BYR|62.69|-150.23|49.0|0.92|200||12.0|12.0|0.1|0.11|individual SKS measurement, event # 31, backaz= 264, distance= 95
6921|BYR|62.69|-150.23|57.0|1.42|200||9.0|8.0|0.2|0.2|individual SKS measurement, event # 21, backaz= 265, distance= 92
6922|BYR|62.69|-150.23|62.0|1.36|200||14.0|15.0|0.28|0.27|individual SKS measurement, event # 20, backaz= 266, distance= 89
6923|BYR|62.69|-150.23|46.0|1.3|200||15.0|14.0|0.21|0.2|individual SKS measurement, event # 7, backaz= 267, distance= 90
6924|BYR|62.69|-150.23|35.0|0.76|200||11.0|11.0|0.09|0.07|individual SKS measurement, event # 40, backaz= 269, distance= 97
6925|BYR|62.69|-150.23|75.0|0.82|200||8.0|10.0|0.14|0.16|individual SKS measurement, event # 44, backaz= 275, distance= 101
6926|BYR|62.69|-150.23|78.0|0.76|200||13.0|14.0|0.18|0.17|individual SKS measurement, event # 14, backaz= 280, distance= 103
