0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
0.047 0 0 0 5433197.85821         0
NaN NaN DEPTH STRIKE DIP RAKE STRIKE DIP RAKE 0.047 0 0 0 0
179.54 -25.6 478.0 85.00 39.00 173.00 181.00 86.00 52.00 3.24685 0 0 0 156.364
125.85 -7.66 399.2 115.00 46.00 -65.00 260.00 49.00 -114.00 2.56611 0 0 0 113.915
154.09 -4.94 419.8 166.00 50.00 -75.00 324.00 42.00 -107.00 3.24685 0 0 0 127.822
-174.88 -17.48 220.8 81.00 47.00 -141.00 322.00 62.00 -50.00 2.88648 0 0 0 149.15
124.47 3.63 332.5 7.00 69.00 -103.00 221.00 24.00 -59.00 4.35709 0 0 0 104.261
146.64 49.49 607.2 16.00 24.00 51.00 237.00 71.00 106.00 1.803 0 0 0 75.848
128.2 1.9 141.0 18.00 53.00 101.00 180.00 38.00 76.00 1.91224 0 0 0 107.908
126.97 -4.79 437.9 84.00 74.00 -25.00 181.00 66.00 -163.00 1.91224 0 0 0 112.413
175.29 -38.94 161.5 39.00 33.00 162.00 144.00 80.00 58.00 2.2813 0 0 0 166.846
138.86 28.18 506.2 70.00 39.00 -163.00 327.00 79.00 -52.00 2.72159 0 0 0 91.6761
-75.6 4.35 145.9 35.00 63.00 -82.00 198.00 28.00 -105.00 1.803 0 0 0 82.781
-179.22 -24.81 429.5 23.00 86.00 -73.00 125.00 17.00 -168.00 1.91224 0 0 0 155.856
166.92 -14.18 210.6 170.00 43.00 106.00 329.00 49.00 76.00 2.88648 0 0 0 141.649
-72.6 7.97 173.5 178.00 86.00 114.00 276.00 25.00 9.00 1.91224 0 0 0 78.0917
130.36 42.39 556.9 40.00 11.00 127.00 182.00 81.00 83.00 2.41952 0 0 0 75.9816
124.61 25.44 146.7 119.00 36.00 -142.00 356.00 69.00 -60.00 1.803 0 0 0 86.9077
123.79 9.3 523.8 33.00 55.00 -25.00 138.00 69.00 -142.00 2.15098 0 0 0 99.3577
131.12 42.16 593.0 56.00 16.00 152.00 173.00 83.00 76.00 4.35709 0 0 0 76.4947
-63.93 -21.96 559.2 7.00 51.00 -90.00 187.00 39.00 -90.00 2.2813 0 0 0 95.3215
-176.28 -20.71 227.9 23.00 87.00 -93.00 248.00 4.00 -45.00 2.2813 0 0 0 152.245
179.58 -24.25 539.8 28.00 24.00 107.00 189.00 67.00 83.00 2.56611 0 0 0 155.063
136.8 33.02 386.4 173.00 78.00 99.00 315.00 15.00 53.00 2.2813 0 0 0 86.6087
153.11 48.52 145.8 195.00 79.00 -68.00 310.00 24.00 -154.00 1.7 0 0 0 78.5272
-179.97 -24.23 537.2 53.00 24.00 116.00 206.00 68.00 79.00 2.88648 0 0 0 155.139
106.34 -6.41 121.6 59.00 55.00 -174.00 325.00 85.00 -35.00 2.0281 0 0 0 100.18
-174.59 -15.84 283.8 28.00 84.00 -94.00 245.00 7.00 -52.00 2.41952 0 0 0 147.531
70.36 36.23 214.2 110.00 77.00 87.00 305.00 13.00 104.00 2.88648 0 0 0 46.1646
-27.78 -58.13 272.9 206.00 26.00 137.00 336.00 73.00 71.00 1.803 0 0 0 110.621
-178.37 -17.79 603.7 51.00 50.00 175.00 144.00 86.00 40.00 1.91224 0 0 0 149.087
141.69 42.45 121.6 45.00 17.00 -101.00 236.00 74.00 -87.00 1.91224 0 0 0 80.4241
138.4 30.93 407.9 113.00 19.00 -133.00 338.00 76.00 -77.00 3.06137 0 0 0 89.101
-74.33 -8.31 164.0 182.00 39.00 -82.00 352.00 51.00 -97.00 2.2813 0 0 0 91.4405
-174.33 -17.87 129.9 226.00 47.00 -53.00 358.00 54.00 -123.00 2.0281 0 0 0 149.574
-178.81 -24.89 373.8 4.00 76.00 -68.00 125.00 26.00 -146.00 2.56611 0 0 0 156.011
-66.57 -27.96 172.0 178.00 52.00 -62.00 317.00 46.00 -121.00 1.803 0 0 0 101.454
152.78 -4.04 104.2 119.00 5.00 88.00 301.00 85.00 90.00 2.2813 0 0 0 126.407
129.83 38.43 571.0 26.00 18.00 69.00 228.00 73.00 97.00 3.06137 0 0 0 78.9783
94.3 21.24 95.7 121.00 62.00 135.00 235.00 51.00 36.00 2.88648 0 0 0 71.7428
-66.85 -22.95 225.5 154.00 22.00 -88.00 332.00 68.00 -91.00 2.15098 0 0 0 97.8153
160.2 54.58 137.3 83.00 10.00 -35.00 207.00 85.00 -98.00 1.60288 0 0 0 74.4533
151.75 51.84 544.8 44.00 77.00 -95.00 247.00 14.00 -68.00 2.56611 0 0 0 75.134
115 -8.09 198.5 112.00 81.00 95.00 262.00 10.00 60.00 1.803 0 0 0 107.174
-176.96 -29.25 47.8 18.00 60.00 88.00 202.00 30.00 93.00 3.44357 0 0 0 160.611
159.5 51.45 15.0 39.00 73.00 94.00 206.00 18.00 78.00 1.7 0 0 0 77.2756
167.81 -15.97 173.7 62.00 68.00 -91.00 246.00 22.00 -86.00 1.91224 0 0 0 143.634
-16.29 66.33 15.0 127.00 82.00 173.00 218.00 83.00 9.00 1.91224 0 0 0 22.0751
-177.04 -29.69 46.7 15.00 64.00 88.00 200.00 26.00 95.00 4.62108 0 0 0 161.03
-176.75 -28.72 17.7 28.00 80.00 93.00 189.00 11.00 71.00 4.90106 0 0 0 160.122
-176.62 -28.61 15.0 10.00 73.00 88.00 197.00 17.00 97.00 2.0281 0 0 0 160.033
-176.63 -30.25 15.0 15.00 64.00 89.00 196.00 26.00 91.00 1.7 0 0 0 161.647
149.49 44.58 26.5 30.00 76.00 83.00 237.00 16.00 116.00 3.24685 0 0 0 81.1153
119.76 -7.42 637.0 83.00 58.00 -90.00 262.00 32.00 -91.00 2.2813 0 0 0 109.797
120.07 -7.37 623.1 61.00 53.00 -85.00 233.00 38.00 -96.00 2.41952 0 0 0 109.961
-177.17 -28.79 60.2 17.00 53.00 90.00 196.00 37.00 89.00 1.803 0 0 0 160.124
-89.78 15.14 16.3 254.00 73.00 -10.00 347.00 80.00 -162.00 3.87349 0 0 0 84.0618
146.1 -6.04 29.5 128.00 86.00 85.00 357.00 6.00 140.00 1.60288 0 0 0 124.714
126.02 13.12 15.6 121.00 53.00 -104.00 322.00 39.00 -73.00 2.15098 0 0 0 97.618
-176.47 -28.52 15.0 18.00 73.00 88.00 204.00 17.00 96.00 1.60288 0 0 0 159.965
-130.93 51.63 22.5 263.00 79.00 -10.00 355.00 80.00 -169.00 1.60288 0 0 0 74.2138
166.95 -14.91 103.0 190.00 50.00 158.00 294.00 73.00 42.00 2.72159 0 0 0 142.333
164.93 -10.87 29.7 117.00 53.00 103.00 276.00 39.00 73.00 1.7 0 0 0 137.84
154.55 -6.49 47.7 121.00 51.00 74.00 325.00 41.00 109.00 1.803 0 0 0 129.404
-177.51 -29.99 54.1 11.00 57.00 81.00 206.00 34.00 103.00 2.88648 0 0 0 161.243
-85.8 3.87 17.5 200.00 79.00 178.00 290.00 88.00 11.00 2.2813 0 0 0 89.9169
152.17 -3.72 15.0 39.00 85.00 -171.00 308.00 81.00 -5.00 2.0281 0 0 0 125.833
63.65 40.41 15.0 84.00 47.00 72.00 290.00 46.00 108.00 2.2813 0 0 0 39.4703
63.54 41.48 42.9 96.00 31.00 130.00 232.00 66.00 69.00 1.7 0 0 0 38.8622
-79.89 0.79 19.4 32.00 22.00 136.00 164.00 75.00 74.00 2.2813 0 0 0 88.2939
-177.91 -17.91 582.0 252.00 45.00 -21.00 357.00 75.00 -133.00 1.91224 0 0 0 149.269
139.46 -52.1 15.0 90.00 90.00 179.00 180.00 89.00 0.00 1.60288 0 0 0 149.213
-176.35 -28.06 15.0 18.00 65.00 97.00 182.00 26.00 75.00 1.7 0 0 0 159.527
167.63 -44.75 15.0 57.00 18.00 136.00 189.00 77.00 77.00 2.15098 0 0 0 165.492
-177.43 -29.84 41.8 13.00 57.00 80.00 211.00 34.00 105.00 2.88648 0 0 0 161.111
13.17 46.33 15.0 74.00 74.00 81.00 284.00 18.00 119.00 2.15098 0 0 0 3.84425
140.13 -51.67 15.0 266.00 79.00 166.00 358.00 76.00 11.00 1.91224 0 0 0 149.52
20.13 36.99 15.1 139.00 77.00 85.00 339.00 14.00 110.00 2.0281 0 0 0 14.2561
-74.26 -11.72 25.5 153.00 15.00 77.00 347.00 76.00 93.00 2.41952 0 0 0 93.9585
63.46 40.42 15.0 51.00 54.00 93.00 225.00 36.00 85.00 2.41952 0 0 0 39.3406
153.75 -60.73 25.8 158.00 76.00 -2.00 248.00 88.00 -166.00 2.0281 0 0 0 156.936
98.65 24.39 15.0 232.00 82.00 -10.00 323.00 80.00 -172.00 2.41952 0 0 0 72.2903
98.58 24.29 15.0 152.00 90.00 178.00 242.00 88.00 0.00 2.2813 0 0 0 72.3174
-75.94 -42.06 15.0 23.00 47.00 -79.00 187.00 44.00 -101.00 1.7 0 0 0 116.906
98.6 24.26 15.0 249.00 80.00 -18.00 342.00 72.00 -169.00 1.7 0 0 0 72.3516
153.47 -4.75 85.9 143.00 31.00 83.00 331.00 59.00 94.00 3.06137 0 0 0 127.36
160.93 -10.15 47.4 148.00 44.00 113.00 298.00 50.00 69.00 1.91224 0 0 0 135.552
125.07 14.23 24.4 249.00 67.00 180.00 339.00 90.00 23.00 2.15098 0 0 0 96.1755
-100.91 17.22 29.0 116.00 72.00 92.00 289.00 18.00 83.00 2.0281 0 0 0 89.3868
134.84 0.54 20.2 86.00 87.00 -1.00 176.00 89.00 -177.00 2.0281 0 0 0 112.945
65.59 -17.58 16.2 59.00 86.00 2.00 329.00 88.00 176.00 2.0281 0 0 0 83.3358
96.24 3.18 19.1 147.00 62.00 85.00 338.00 28.00 99.00 2.88648 0 0 0 86.3006
140.29 -4.66 15.0 9.00 59.00 153.00 113.00 67.00 34.00 3.06137 0 0 0 120.337
127.06 3.77 18.0 12.00 66.00 100.00 169.00 26.00 69.00 2.15098 0 0 0 105.729
-177.63 -33.63 55.2 24.00 37.00 78.00 220.00 54.00 99.00 1.803 0 0 0 164.761
145.37 47.41 421.3 64.00 81.00 -97.00 284.00 11.00 -50.00 1.7 0 0 0 77.3079
-78.29 7.19 15.0 74.00 63.00 171.00 167.00 82.00 27.00 2.41952 0 0 0 82.4556
-78.11 7.32 15.0 78.00 67.00 161.00 176.00 72.00 24.00 3.44357 0 0 0 82.2394
114.89 -8.14 28.4 96.00 29.00 87.00 280.00 61.00 92.00 2.15098 0 0 0 107.139
152.71 -4.27 36.5 96.00 63.00 43.00 343.00 52.00 146.00 2.2813 0 0 0 126.575
98.57 24.74 15.0 248.00 88.00 -2.00 338.00 88.00 -178.00 1.7 0 0 0 71.9888
118.55 5.08 15.0 59.00 70.00 -172.00 327.00 83.00 -20.00 1.91224 0 0 0 99.4399
